<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160915,000000,12.9150000,13.1750000,12.8700000,13.1000000,8382515
20160916,000000,12.2000000,12.3600000,11.9350000,11.9900000,39766253
20160919,000000,11.9700000,12.0350000,11.6350000,11.7000000,15486921
20160920,000000,11.6200000,11.7000000,11.2500000,11.2550000,15664095
20160921,000000,11.3850000,11.4350000,11.1300000,11.2750000,15248604
20160922,000000,11.3050000,11.7460000,11.3050000,11.6400000,12366269
20160923,000000,11.5850000,11.6400000,11.3000000,11.4100000,9501405
20160926,000000,11.2650000,11.2650000,10.5400000,10.5500000,30718374
20160927,000000,10.7000000,10.7600000,10.1800000,10.5500000,29500848
20160928,000000,10.8800000,11.0100000,10.6550000,10.7650000,24355073
20160929,000000,11.0550000,11.0600000,10.7800000,10.8750000,14638061
20160930,000000,10.0500000,11.7100000,9.8980000,11.5700000,56936694
20161004,000000,11.5850000,11.9800000,11.4550000,11.7450000,27316817
20161005,000000,11.8500000,12.1000000,11.6700000,12.0700000,18733159
20161006,000000,12.2000000,12.3950000,11.9250000,12.0350000,17040991
20161007,000000,12.1050000,12.3050000,11.9600000,12.0900000,16414557
20161010,000000,12.0100000,12.5000000,11.6350000,12.5000000,24285481
20161011,000000,12.4700000,12.5650000,12.2700000,12.3050000,12075131
20161012,000000,12.3000000,12.4700000,12.1100000,12.3500000,7713192
20161013,000000,12.2550000,12.2650000,11.8350000,11.9900000,11474711
20161014,000000,12.0100000,12.4400000,11.9200000,12.2350000,12399148
20161017,000000,12.1700000,12.3850000,12.1250000,12.2200000,7920944
20161018,000000,12.3050000,12.5000000,12.2850000,12.4450000,8730075
20161019,000000,12.5500000,12.6300000,12.4150000,12.5500000,8522314
20161020,000000,12.6250000,13.0800000,12.5700000,13.0300000,18108780
20161021,000000,13.1800000,13.2600000,12.9900000,13.1200000,12505459
20161024,000000,13.1900000,13.4700000,13.1650000,13.3600000,10638992
20161025,000000,13.3950000,13.4450000,12.9200000,13.1450000,14498076
20161026,000000,13.0200000,13.3500000,13.0150000,13.2950000,10516013
20161027,000000,13.6900000,13.7400000,13.1800000,13.3750000,14925722
20161028,000000,13.2900000,13.3700000,13.2000000,13.3250000,7976667
20161031,000000,13.3250000,13.4500000,13.0600000,13.1550000,7793251
20161101,000000,13.1700000,13.2410000,12.6000000,12.6500000,10237688
20161102,000000,12.5500000,12.5800000,12.1950000,12.2950000,10831420
20161103,000000,12.2150000,12.5550000,12.1550000,12.2800000,10225152
20161104,000000,12.2800000,12.2800000,12.0000000,12.2300000,8364790
20161107,000000,12.4000000,12.8650000,12.3750000,12.8650000,10089841
20161108,000000,12.8500000,12.9400000,12.5850000,12.8950000,8439331
20161109,000000,12.3000000,13.3600000,12.2200000,13.3600000,21265098
20161110,000000,13.4800000,14.5000000,13.4200000,14.1050000,33543554
20161111,000000,14.4000000,14.7850000,14.3050000,14.7500000,24016139
20161114,000000,15.0000000,15.4700000,14.8550000,15.3050000,22928460
20161115,000000,15.4500000,15.4500000,14.8150000,15.3000000,13948023
20161116,000000,15.3100000,15.4350000,14.9600000,15.0650000,10605632
20161117,000000,14.9000000,15.1150000,14.6150000,15.0200000,11061918
20161118,000000,15.1600000,15.4000000,14.9000000,14.9600000,13921135
20161121,000000,15.1000000,15.1200000,14.8800000,15.0100000,6414466
20161122,000000,15.1800000,15.1800000,14.8400000,14.9100000,7927599
20161123,000000,14.9500000,14.9750000,14.6600000,14.9000000,6766663
20161124,000000,14.8650000,15.0100000,14.8000000,14.8500000,4212388
