<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160414,000000,48.0000000,48.0000000,46.7000000,47.3000000,270
20160415,000000,47.6000000,47.8000000,47.5000000,47.8000000,50
20160418,000000,47.3000000,47.3000000,46.0000000,46.7000000,610
20160419,000000,46.9000000,47.6000000,46.4000000,47.0000000,90
20160420,000000,47.4000000,47.6000000,47.0000000,47.0000000,30
20160421,000000,46.7000000,47.7000000,44.5000000,46.5000000,1360
20160422,000000,46.2000000,46.6000000,46.2000000,46.6000000,1520
20160426,000000,46.5000000,46.8000000,46.5000000,46.7000000,60
20160427,000000,47.3000000,47.3000000,46.8000000,47.2000000,230
20160428,000000,46.8000000,47.1000000,46.3000000,46.3000000,260
20160429,000000,46.6000000,46.6000000,46.6000000,46.6000000,20
20160504,000000,46.2000000,46.2000000,46.0000000,46.0000000,30
20160505,000000,46.2000000,46.5000000,46.2000000,46.5000000,30
20160506,000000,46.6000000,47.4000000,46.6000000,47.4000000,90
20160510,000000,48.5000000,48.5000000,42.8000000,46.7000000,880
20160511,000000,46.1000000,48.0000000,46.1000000,46.9000000,340
20160512,000000,48.0000000,48.0000000,46.2000000,46.3000000,70
20160516,000000,46.0000000,46.0000000,46.0000000,46.0000000,1340
20160517,000000,47.6000000,47.6000000,47.0000000,47.0000000,1030
20160518,000000,46.2000000,46.2000000,46.0000000,46.0000000,40
20160519,000000,47.0000000,47.0000000,46.0000000,46.9000000,120
20160520,000000,46.3000000,48.4000000,46.3000000,46.9000000,270
20160523,000000,48.0000000,48.2000000,47.0000000,47.0000000,350
20160524,000000,46.7000000,47.3000000,43.1000000,46.2000000,180
20160525,000000,47.3000000,47.3000000,46.9000000,46.9000000,130
20160526,000000,46.2000000,46.2000000,46.1000000,46.1000000,100
20160527,000000,47.5000000,47.5000000,47.4000000,47.4000000,20
20160530,000000,47.4000000,47.4000000,47.4000000,47.4000000,540
20160531,000000,47.3000000,47.3000000,47.3000000,47.3000000,20
20160601,000000,46.3000000,46.4000000,46.3000000,46.4000000,20
20160602,000000,47.6000000,47.9000000,47.3000000,47.7000000,130
20160603,000000,47.0000000,47.0000000,46.6000000,46.6000000,50
20160606,000000,46.5000000,47.3000000,46.0000000,46.4000000,310
20160607,000000,46.4000000,46.4000000,45.0000000,45.4000000,140
20160608,000000,45.1000000,45.4000000,44.7000000,45.2000000,160
20160609,000000,44.6000000,45.3000000,44.5000000,45.3000000,60
20160610,000000,45.3000000,45.3000000,45.3000000,45.3000000,20
20160614,000000,45.3000000,45.4000000,45.3000000,45.4000000,80
20160615,000000,45.7000000,45.7000000,44.1000000,44.1000000,40
20160616,000000,44.4000000,45.3000000,44.4000000,45.3000000,20
20160617,000000,45.0000000,45.4000000,44.9000000,44.9000000,130
20160621,000000,46.5000000,46.5000000,45.1000000,45.1000000,100
20160622,000000,45.9000000,45.9000000,45.9000000,45.9000000,10
20160623,000000,44.8000000,44.9000000,41.8000000,44.9000000,550
20160624,000000,44.0000000,46.4000000,42.6000000,44.2000000,850
20160627,000000,43.6000000,43.9000000,43.3000000,43.3000000,260
20160628,000000,43.9000000,43.9000000,43.9000000,43.9000000,110
20160629,000000,45.5000000,45.5000000,44.2000000,44.3000000,140
20160630,000000,44.1000000,44.1000000,44.0000000,44.0000000,20
20160701,000000,43.7000000,43.7000000,42.5000000,42.8000000,1730
20160704,000000,43.7000000,44.0000000,43.7000000,44.0000000,430
20160705,000000,45.9000000,45.9000000,43.8000000,44.9000000,210
20160706,000000,44.9000000,45.1000000,44.9000000,45.1000000,20
20160707,000000,45.7000000,45.7000000,45.7000000,45.7000000,10
20160708,000000,44.8000000,46.0000000,44.8000000,46.0000000,530
20160711,000000,44.0000000,47.0000000,44.0000000,45.9000000,570
20160712,000000,47.0000000,47.0000000,45.0000000,45.0000000,170
20160713,000000,45.9000000,45.9000000,44.0000000,45.8000000,290
20160714,000000,44.0000000,45.7000000,44.0000000,44.1000000,190
20160715,000000,44.2000000,44.3000000,44.1000000,44.1000000,250
20160718,000000,44.4000000,44.8000000,44.4000000,44.8000000,30
20160719,000000,44.1000000,44.2000000,44.1000000,44.2000000,230
20160720,000000,44.9000000,44.9000000,44.9000000,44.9000000,10
20160721,000000,45.0000000,45.1000000,44.9000000,45.0000000,2590
20160722,000000,45.0000000,45.0000000,44.2000000,44.7000000,340
20160725,000000,45.1000000,45.7000000,44.3000000,45.7000000,250
20160727,000000,44.4000000,47.2000000,44.4000000,45.0000000,1270
20160728,000000,47.0000000,47.0000000,45.0000000,45.0000000,160
20160729,000000,45.0000000,45.0000000,42.6000000,44.2000000,3050
20160801,000000,45.0000000,45.0000000,44.5000000,44.5000000,1520
20160802,000000,44.9000000,44.9000000,44.8000000,44.9000000,1110
20160803,000000,44.5000000,45.0000000,44.5000000,45.0000000,160
20160804,000000,45.8000000,45.8000000,45.0000000,45.0000000,40
20160805,000000,45.8000000,46.4000000,45.8000000,45.9000000,130
20160808,000000,45.8000000,47.0000000,45.8000000,47.0000000,350
20160809,000000,46.0000000,47.5000000,46.0000000,47.3000000,260
20160810,000000,47.8000000,48.2000000,47.4000000,47.6000000,360
20160811,000000,46.7000000,48.5000000,46.7000000,48.5000000,1080
20160812,000000,48.4000000,48.4000000,42.8000000,46.9000000,1210
20160815,000000,46.1000000,46.1000000,46.1000000,46.1000000,10
20160817,000000,46.4000000,46.7000000,46.4000000,46.7000000,30
20160818,000000,46.8000000,46.9000000,46.8000000,46.9000000,50
20160822,000000,46.0000000,48.5000000,46.0000000,47.0000000,4340
20160823,000000,47.0000000,47.0000000,47.0000000,47.0000000,100
20160824,000000,46.7000000,47.8000000,46.7000000,47.8000000,20
20160825,000000,47.9000000,48.2000000,45.5000000,45.9000000,1990
20160826,000000,46.9000000,46.9000000,46.7000000,46.7000000,20
20160829,000000,45.7000000,47.9000000,45.6000000,46.5000000,860
20160831,000000,46.6000000,47.9000000,46.6000000,47.9000000,1120
20160901,000000,47.9000000,52.4000000,47.9000000,50.0000000,1900
20160902,000000,52.4000000,52.4000000,48.0000000,48.6000000,220
20160905,000000,48.9000000,48.9000000,48.9000000,48.9000000,110
20160906,000000,48.9000000,49.8000000,48.2000000,48.7000000,480
20160907,000000,50.8000000,50.8000000,48.1000000,48.9000000,250
20160908,000000,49.6000000,50.7000000,49.5000000,50.2000000,350
20160909,000000,49.9000000,50.9000000,48.9000000,50.4000000,2620
20160912,000000,48.7000000,50.8000000,47.1000000,49.3000000,400
20160913,000000,49.8000000,49.8000000,48.1000000,48.2000000,80
20160914,000000,48.3000000,48.9000000,47.6000000,48.2000000,660
20160915,000000,48.8000000,48.8000000,47.7000000,48.1000000,720
20160916,000000,47.9000000,48.1000000,47.4000000,48.1000000,600
20160919,000000,47.1000000,47.6000000,46.7000000,47.3000000,750
20160920,000000,46.7000000,47.3000000,44.3000000,46.2000000,3600
20160921,000000,46.8000000,47.0000000,46.8000000,47.0000000,40
20160922,000000,46.4000000,48.3000000,45.2000000,48.0000000,2060
20160926,000000,47.2000000,47.9000000,47.2000000,47.9000000,20
20160927,000000,47.1000000,47.1000000,47.1000000,47.1000000,10
20160928,000000,46.3000000,48.7000000,46.2000000,48.5000000,2300
20160929,000000,48.0000000,50.9000000,48.0000000,49.9000000,3350
20160930,000000,49.6000000,49.9000000,49.0000000,49.7000000,1400
20161003,000000,48.7000000,51.9000000,48.0000000,49.0000000,5580
20161004,000000,49.3000000,49.3000000,48.7000000,48.9000000,130
